SimaPro 9.5.0.1	Inventory	Date:	31/07/2023	Time:	11:54:34
Project	Doris_Thesis


Calculation: 	Compare
Results: 	Inventory
Product 1: 	1 kg white rice cooked, at household {CH} (of project Doris_Thesis)
Product 2: 	1 kg white rice cooked, at household {CN} (of project Doris_Thesis)
Product 3: 	1 kg white rice cooked, at household {IN} (of project Doris_Thesis)
Method: 	ReCiPe 2016 Midpoint (H) V1.08 / World (2010) H
Indicator: 	Inventory
Compartment: 	All compartments
Per sub-compartment: 	Yes
Default units: 	Yes
Exclude infrastructure processes: 	No
Exclude long-term emissions: 	No
Sorted on item: 	Substance
Sort order: 	Ascending

No	Substance	Compartment	Subcompartment	Unit	white rice cooked, at household {CH}	white rice cooked, at household {CN}	white rice cooked, at household {IN}
72	Acetamiprid	Water	groundwater	kg	2.2164559E-14	1.3878579E-14	1.6520301E-14
73	Acetamiprid	Soil	agricultural	kg	4.0196728E-11	2.5985401E-11	5.9236701E-11
74	Acetamiprid	Soil	forestry	kg	3.7711301E-12	2.3613341E-12	2.8108029E-12
75	Acetic acid	Air		kg	1.1824283E-6	1.5383389E-6	1.5134978E-6
76	Acetic acid	Air	high. pop.	kg	6.8520492E-7	1.1548791E-6	1.235781E-6
77	Acetic acid	Air	low. pop.	kg	3.1395613E-7	1.6471712E-7	1.5173669E-7
78	Acetic acid	Water	river	kg	3.1949427E-6	1.1190684E-5	1.1170688E-5
79	Acetochlor	Soil	agricultural	kg	1.2187519E-7	1.2130518E-7	1.2129372E-7
80	Acetone	Air		kg	1.5866048E-6	1.5700033E-6	1.5700698E-6
81	Acetone	Air	high. pop.	kg	5.9538369E-7	2.3507522E-7	2.4355453E-7
82	Acetone	Air	low. pop.	kg	3.2587768E-7	7.0333759E-7	6.9882045E-7
83	Acetone	Water		kg	8.0638617E-15	6.9705383E-15	6.2109818E-15
84	Acetone	Water	river	kg	3.1993156E-7	5.1547934E-7	5.0662592E-7
85	Acetonitrile	Air	low. pop.	kg	1.0939304E-8	6.8853369E-9	8.4668321E-9
86	Acetonitrile	Water	river	kg	2.9637706E-10	1.0708599E-9	1.0716562E-9
87	Acetyl chloride	Water	river	kg	3.7246491E-9	1.3580392E-8	1.3581502E-8
88	Acidity, unspecified	Water		kg	1.6967179E-13	1.4666716E-13	1.3068533E-13
89	Acidity, unspecified	Water	river	kg	3.1887191E-8	2.4686074E-8	2.466815E-8
90	Acifluorfen	Air	low. pop.	kg	2.7741594E-12	1.0578168E-12	2.3133445E-12
91	Acifluorfen	Soil	agricultural	kg	1.1891496E-13	4.5343556E-14	9.9162032E-14
92	Aclonifen	Soil	agricultural	kg	3.6511633E-14	1.3328015E-14	2.0133403E-14
93	Acrinathrin	Soil	agricultural	kg	2.7936189E-22	4.9792165E-23	5.0327456E-23
94	Acrolein	Air		kg	1.5130635E-7	4.0218546E-7	1.3641265E-7
95	Acrolein	Air	high. pop.	kg	2.949654E-7	1.6372602E-10	9.7792518E-11
96	Acrolein	Air	low. pop.	kg	5.622248E-9	1.4228477E-8	1.0944992E-8
97	Acrylate	Water	river	kg	2.7434077E-9	1.0737662E-9	9.464052E-10
98	Acrylic acid	Air	high. pop.	kg	1.1591447E-9	4.5368772E-10	3.9987514E-10
99	Actinides, radioactive, unspecified	Air	low. pop.	Bq	0.034743298	0.093255754	0.049506112
100	Actinides, radioactive, unspecified	Water	ocean	Bq	0.0016301578	0.0008646997	0.0013073924
101	Aerosols, radioactive, unspecified	Air	low. pop.	Bq	7.6966621E-5	3.1145031E-5	3.8257164E-5
102	Alachlor	Air	low. pop.	kg	1.963215E-11	7.4859503E-12	1.6371059E-11
103	Alachlor	Soil	agricultural	kg	6.8025866E-7	2.517736E-9	2.5182743E-9
